TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_reads_mapped,corr_reads_mapped_div_gene_len,L1_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
1654,1528,3951,0.5197988686360779,0.2950936663693131,0.3764652327301696,0.5566638739564629,1.0355893912315097,0.6086571088732012,0.9230421901723815,0.5197988686360779,3182,0
150,1528,2089,0.08939213349225268,0.06699419383653417,0.07658922644881287,0.8820542481206572,0.4748454144114422,0.9140245701056632,0.4140096272778164,0.08939213349225268,1678,5
45,1528,1437,0.028607755880483154,0.030364372469635626,0.029459901800327332,0.9196748987288543,0.422122393802319,0.8975718126545496,0.39990136750043415,0.028607755880483154,1573,10
36,1528,1116,0.023017902813299233,0.03125,0.026509572901325478,0.9507837410569046,0.33568175480992657,0.9190162459929007,0.3318534623515317,0.023017902813299233,1564,15
26,1528,891,0.01673101673101673,0.028353326063249727,0.02104411169566977,0.9682201252749316,0.20059331047499027,0.9794832854505244,0.13993738985840093,0.01673101673101673,1554,20
22,1528,714,0.014193548387096775,0.029891304347826088,0.019247594050743656,0.96738941545177,0.19365030784470222,0.9792322914719345,0.13599606688872828,0.014193548387096775,1550,25
17,1528,599,0.011003236245954692,0.027597402597402596,0.015733456732993985,0.9647388397524812,0.18288837093688873,0.9782055969423646,0.12310790895061803,0.011003236245954692,1545,30
16,1528,520,0.010362694300518135,0.029850746268656716,0.015384615384615385,0.9897694384714897,0.09411862990810357,0.9926825570714943,0.0748018573773151,0.010362694300518135,1544,35
14,1528,439,0.009079118028534372,0.03090507726269316,0.014035087719298248,0.9920886471568879,0.06946815495732106,0.996196423954834,0.05663463292607741,0.009079118028534372,1542,40
13,1528,381,0.008436080467229072,0.03299492385786802,0.013436692506459947,0.9918840758464906,0.06884194564427713,0.9964200155883197,0.05258823365530894,0.008436080467229072,1541,45
11,1528,337,0.007147498375568551,0.031609195402298854,0.011658717541070483,0.9915165797228799,0.06724263688724566,0.9967465969488967,0.044662726982077613,0.007147498375568551,1539,50
10,1528,291,0.006501950585175552,0.03322259136212625,0.01087547580206634,0.9911289020348778,0.06898663220786938,0.9967801833698554,0.04712017862788556,0.006501950585175552,1538,55
10,1528,256,0.006501950585175552,0.03759398496240601,0.011086474501108647,0.9911289020348778,0.06898663220786938,0.9967801833698554,0.04712017862788556,0.006501950585175552,1538,60
7,1528,234,0.004560260586319218,0.029045643153526972,0.007882882882882882,0.9899526153969348,0.07586311556263754,0.9971571538301313,0.04780756009971058,0.004560260586319218,1535,65
7,1528,206,0.004560260586319218,0.03286384976525822,0.008009153318077803,0.9899526153969348,0.07586311556263754,0.9971571538301313,0.04780756009971058,0.004560260586319218,1535,70
5,1528,184,0.0032615786040443573,0.026455026455026454,0.005807200929152149,0.9889329035177007,0.0813510342219335,0.9977789058327039,0.04964979090261372,0.0032615786040443573,1533,75
5,1528,172,0.0032615786040443573,0.02824858757062147,0.005847953216374268,0.9889329035177007,0.0813510342219335,0.9977789058327039,0.04964979090261372,0.0032615786040443573,1533,80
5,1528,161,0.0032615786040443573,0.030120481927710843,0.005885815185403178,0.9889329035177007,0.0813510342219335,0.9977789058327039,0.04964979090261372,0.0032615786040443573,1533,85
5,1528,150,0.0032615786040443573,0.03225806451612903,0.005924170616113744,0.9889329035177007,0.0813510342219335,0.9977789058327039,0.04964979090261372,0.0032615786040443573,1533,90
4,1528,144,0.0026109660574412533,0.02702702702702703,0.004761904761904762,0.9892740439421658,0.08622423328305683,0.9984389860824184,0.05516512583421612,0.0026109660574412533,1532,95
