TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
975,25,4930,0.975,0.1651143099068586,0.28240405503258514,0.88289813930427,0.44774559835629674,0.612333497723683,0.8183231498233248,0.975,1000,0
189,25,2100,0.883177570093458,0.08256880733944955,0.15101877746703954,0.9630774317429478,0.25415314304205205,0.9628429282444896,0.45639843920643874,0.883177570093458,214,5
66,25,1330,0.7252747252747253,0.04727793696275072,0.08876933422999328,0.9622560415203505,0.1927407685852491,0.9763244957917567,0.2234889612644542,0.7252747252747253,91,10
43,25,1004,0.6323529411764706,0.041069723018147083,0.07713004484304932,0.9673307075410893,0.1565708897284854,0.985832441453338,0.15828531767349613,0.6323529411764706,68,15
33,25,810,0.5689655172413793,0.03914590747330961,0.0732519422863485,0.9695928324185638,0.14798938963970773,0.9884648593201515,0.13896549993358923,0.5689655172413793,58,20
22,25,672,0.46808510638297873,0.03170028818443804,0.05937921727395412,0.9683270912606998,0.13677765124439692,0.9921878042342934,0.10860644401443152,0.46808510638297873,47,25
17,25,576,0.40476190476190477,0.02866779089376054,0.05354330708661417,0.965013184920087,0.1332481452950838,0.9945485939066474,0.0863272548344458,0.40476190476190477,42,30
13,25,511,0.34210526315789475,0.02480916030534351,0.046263345195729534,0.9642431696449679,0.13510557846771343,0.9949740296112854,0.06856692346493505,0.34210526315789475,38,35
11,25,444,0.3055555555555556,0.024175824175824177,0.04480651731160896,0.968340196912586,0.13433117594402982,0.9956036966422783,0.06240791725158137,0.3055555555555556,36,40
10,25,392,0.2857142857142857,0.024875621890547265,0.04576659038901602,0.9662741719685282,0.13858170660285518,0.9963981912167778,0.05295549320340907,0.2857142857142857,35,45
8,25,355,0.24242424242424243,0.02203856749311295,0.0404040404040404,0.9589101834584629,0.12858628193480343,0.9971820100200002,0.050800789895491597,0.24242424242424243,33,50
7,25,319,0.21875,0.02147239263803681,0.039106145251396655,0.9513225308845061,0.12213328820948863,0.9975050560581826,0.049606510204055945,0.21875,32,55
6,25,289,0.1935483870967742,0.020338983050847456,0.03680981595092024,0.9572238962835022,0.12645654250247867,0.9974485668908166,0.05146491910345336,0.1935483870967742,31,60
6,25,265,0.1935483870967742,0.02214022140221402,0.039735099337748346,0.9572238962835022,0.12645654250247867,0.9974485668908166,0.05146491910345336,0.1935483870967742,31,65
5,25,245,0.16666666666666666,0.02,0.03571428571428571,0.9570450511257094,0.13916574930835762,0.9976792994425236,0.046378541411154106,0.16666666666666666,30,70
5,25,215,0.16666666666666666,0.022727272727272728,0.04,0.9570450511257094,0.13916574930835762,0.9976792994425236,0.046378541411154106,0.16666666666666666,30,75
5,25,198,0.16666666666666666,0.024630541871921183,0.042918454935622324,0.9570450511257094,0.13916574930835762,0.9976792994425236,0.046378541411154106,0.16666666666666666,30,80
5,25,180,0.16666666666666666,0.02702702702702703,0.046511627906976744,0.9570450511257094,0.13916574930835762,0.9976792994425236,0.046378541411154106,0.16666666666666666,30,85
4,25,165,0.13793103448275862,0.023668639053254437,0.0404040404040404,0.9444187881558153,0.12533451397086515,0.9984874792673017,0.038009686060982165,0.13793103448275862,29,90
4,25,153,0.13793103448275862,0.025477707006369428,0.043010752688172046,0.9444187881558153,0.12533451397086515,0.9984874792673017,0.038009686060982165,0.13793103448275862,29,95
