TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_reads_mapped,corr_reads_mapped_div_gene_len,L1_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
3476,1332,2942,0.7229617304492513,0.5416017450919289,0.619276679137716,0.3333495842560447,1.1161306817401249,0.40673720539921054,1.0290115550965113,0.7229617304492513,4808,0
1448,1332,2309,0.520863309352518,0.3854138940644131,0.4430166743154353,0.5553765210332369,0.7516432397384333,0.6244038114704709,0.6663126615310611,0.520863309352518,2780,5
1130,1332,2076,0.45897644191714054,0.35246412975670616,0.3987297106563162,0.5888706407657328,0.6709978733197577,0.6350439601306772,0.6098443736311915,0.45897644191714054,2462,10
1031,1332,1911,0.4363097757088447,0.3504418762746431,0.3886899151743638,0.5984457922109043,0.6442553499694061,0.6369615312129747,0.5954417177786255,0.4363097757088447,2363,15
942,1332,1746,0.41424802110817943,0.35044642857142855,0.3796856106408706,0.6098791006640688,0.6269255810185538,0.6394806099356201,0.5978197571455717,0.41424802110817943,2274,20
861,1332,1606,0.39261285909712723,0.349006890960681,0.36952789699570815,0.6095738933773578,0.6225123592280923,0.6468486303093177,0.5946768373545364,0.39261285909712723,2193,25
776,1332,1510,0.3681214421252372,0.3394575678040245,0.3532089212562585,0.605343932892502,0.6295712000105684,0.6472630675956504,0.6095019584113057,0.3681214421252372,2108,30
689,1332,1420,0.3409203364670955,0.32669511616880037,0.3336561743341404,0.6019666156245577,0.6357642510581154,0.6489458985151126,0.621544189722552,0.3409203364670955,2021,35
586,1332,1341,0.30552659019812306,0.3040996367410483,0.3048114434330299,0.610191133557494,0.6155976061369873,0.6650134709808616,0.6053228358241398,0.30552659019812306,1918,40
491,1332,1275,0.26933625891387825,0.27802944507361266,0.27361382000557266,0.6086122283097216,0.6228992277886494,0.6685804215973163,0.6203493937526319,0.26933625891387825,1823,45
415,1332,1216,0.23755008586147683,0.2544451256897609,0.24570751924215517,0.6152025923900535,0.6052694488210296,0.6873615550278916,0.5961403160430729,0.23755008586147683,1747,50
355,1332,1165,0.2104327208061648,0.23355263157894737,0.22139070782662926,0.6157849386152578,0.6052794955265567,0.6920840997952834,0.597786347738618,0.2104327208061648,1687,55
303,1332,1099,0.1853211009174312,0.2161198288159772,0.19953901876852156,0.6176689965115414,0.60111496769517,0.6966398664818044,0.5957021565759166,0.1853211009174312,1635,60
250,1332,1050,0.15802781289506954,0.19230769230769232,0.1734906315058987,0.6148615841014596,0.613528278156739,0.6977276801920973,0.6109289277889148,0.15802781289506954,1582,65
196,1332,1017,0.12827225130890052,0.1615828524319868,0.14301349872309377,0.6085639874448441,0.6395863278595049,0.6963996713226196,0.6377848279852132,0.12827225130890052,1528,70
165,1332,986,0.11022044088176353,0.14335360556038226,0.12462235649546828,0.6071777317342152,0.6557723423704033,0.6974685378290175,0.6537333317991395,0.11022044088176353,1497,75
144,1332,963,0.0975609756097561,0.13008130081300814,0.11149825783972127,0.6101395557955378,0.6470072399637801,0.6995233850736773,0.6499681829349555,0.0975609756097561,1476,80
119,1332,942,0.08201240523776705,0.11215834118755891,0.09474522292993631,0.6035392306836215,0.6725491834290553,0.6973675841657552,0.6732965631218945,0.08201240523776705,1451,85
108,1332,910,0.075,0.10609037328094302,0.08787632221318144,0.6093484902331343,0.6580991421681929,0.7011708844098942,0.6613805749247321,0.075,1440,90
91,1332,874,0.06394940267041462,0.09430051813471503,0.076214405360134,0.6029174028078655,0.6771068862538564,0.6993637573658421,0.672912230278479,0.06394940267041462,1423,95
