TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
936,64,19463,0.936,0.045884602186381684,0.08748072339828963,0.9254072892777336,0.2595793420249589,0.9454399420770785,0.3824077818357411,0.936,1000,0
858,64,2067,0.93058568329718,0.29333333333333333,0.4460618663893944,0.9503477286550139,0.20533614929000538,0.9693181671236912,0.3134952731220819,0.93058568329718,922,5
579,64,706,0.9004665629860031,0.45058365758754865,0.6006224066390042,0.9508447359370721,0.16754511082178952,0.9754171938169658,0.19738572930358972,0.9004665629860031,643,10
405,64,418,0.8635394456289979,0.49210206561360875,0.6269349845201239,0.9478780464330236,0.1541554124154008,0.9800488339219952,0.1427926686570647,0.8635394456289979,469,15
286,64,264,0.8171428571428572,0.52,0.6355555555555555,0.945986427131577,0.1443631435879624,0.9821292782920347,0.1077982594396896,0.8171428571428572,350,20
206,64,191,0.762962962962963,0.5188916876574308,0.6176911544227887,0.9386819490421864,0.1401254334295625,0.9820505896463843,0.09625814243284711,0.762962962962963,270,25
159,64,151,0.7130044843049327,0.5129032258064516,0.5966228893058162,0.9285687128071635,0.14184215263322503,0.9817251886040832,0.08565611604516003,0.7130044843049327,223,30
130,64,118,0.6701030927835051,0.5241935483870968,0.588235294117647,0.9199711252848175,0.14189765685104522,0.9811562211564083,0.08175194092172931,0.6701030927835051,194,35
104,64,94,0.6190476190476191,0.5252525252525253,0.5683060109289618,0.9163443842601331,0.137979336988247,0.9824616281727333,0.0729494061738613,0.6190476190476191,168,40
80,64,80,0.5555555555555556,0.5,0.5263157894736842,0.8946252962390795,0.13752296494769917,0.980339667788477,0.07091232308778606,0.5555555555555556,144,45
70,64,64,0.5223880597014925,0.5223880597014925,0.5223880597014925,0.8836315743487081,0.13746425842800905,0.9794985551422248,0.07051351883660016,0.5223880597014925,134,50
60,64,61,0.4838709677419355,0.49586776859504134,0.489795918367347,0.8673020594447506,0.13825851934052255,0.9772876210817734,0.07328201395102428,0.4838709677419355,124,55
47,64,53,0.42342342342342343,0.47,0.44549763033175355,0.8452424810644626,0.1405965676651738,0.9778947544424343,0.0721961812222613,0.42342342342342343,111,60
43,64,45,0.40186915887850466,0.48863636363636365,0.441025641025641,0.8403272862849094,0.13592044989960067,0.975612967285188,0.07128213287154257,0.40186915887850466,107,65
37,64,38,0.36633663366336633,0.49333333333333335,0.42045454545454547,0.823557730926531,0.1377118961485571,0.9726243591569512,0.07445079281917841,0.36633663366336633,101,70
30,64,35,0.3191489361702128,0.46153846153846156,0.37735849056603776,0.8094734315746046,0.13525932303373328,0.9689442179554134,0.0736433339664612,0.3191489361702128,94,75
26,64,31,0.28888888888888886,0.45614035087719296,0.35374149659863946,0.8007022209968213,0.13765418449132139,0.9707986815206884,0.07571360309298361,0.28888888888888886,90,80
21,64,29,0.24705882352941178,0.42,0.3111111111111111,0.7492332683238137,0.1479281060295906,0.9654047948642899,0.07934296177998613,0.24705882352941178,85,85
15,64,26,0.189873417721519,0.36585365853658536,0.25,0.656829642979942,0.14731912330983346,0.9471504503067263,0.081026273983281,0.189873417721519,79,90
15,64,24,0.189873417721519,0.38461538461538464,0.2542372881355932,0.656829642979942,0.14731912330983346,0.9471504503067263,0.081026273983281,0.189873417721519,79,95
