TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
0,11,36,0.0,0.0,0,,0.0,,0.0,0.0,11,0
0,11,35,0.0,0.0,0,,0.0,,0.0,0.0,11,5
0,11,27,0.0,0.0,0,,0.0,,0.0,0.0,11,10
0,11,12,0.0,0.0,0,,0.0,,0.0,0.0,11,15
0,11,9,0.0,0.0,0,,0.0,,0.0,0.0,11,20
0,11,7,0.0,0.0,0,,0.0,,0.0,0.0,11,25
0,11,6,0.0,0.0,0,,0.0,,0.0,0.0,11,30
0,11,5,0.0,0.0,0,,0.0,,0.0,0.0,11,35
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,40
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,45
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,50
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,55
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,60
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,65
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,70
0,11,3,0.0,0.0,0,,0.0,,0.0,0.0,11,75
0,11,2,0.0,0.0,0,,0.0,,0.0,0.0,11,80
0,11,2,0.0,0.0,0,,0.0,,0.0,0.0,11,85
0,11,2,0.0,0.0,0,,0.0,,0.0,0.0,11,90
0,11,2,0.0,0.0,0,,0.0,,0.0,0.0,11,95
